args.model='/opt/models/hf/Mistral-7B-v0.1', args.outdir='./zstd_comped_weights'
[FW] Embedding                      =>  13924.5 MB
[FW] MistralRotaryEmbedding         =>  13933.4 MB
[FW] MistralRMSNorm                 =>  13937.4 MB
[FW] Linear                         =>  13941.4 MB
[FW] Linear                         =>  13942.4 MB
[FW] Linear                         =>  13943.4 MB
[FW] Linear                         =>  13951.4 MB
[FW] MistralAttention               =>  13943.4 MB
[FW] MistralRMSNorm                 =>  13943.4 MB
[FW] Linear                         =>  13957.4 MB
[FW] Identity                       =>  13965.4 MB
[FW] Linear                         =>  13965.4 MB
[FW] Linear                         =>  13993.4 MB
[FW] Linear                         =>  13957.4 MB
[FW] SiLU                           =>  13971.4 MB
[FW] Linear                         =>  13971.4 MB
[FW] Identity                       =>  13979.4 MB
[FW] Linear                         =>  13979.4 MB
[FW] Linear                         =>  14007.4 MB
[FW] Linear                         =>  13971.4 MB
[FW] Linear                         =>  13961.4 MB
[FW] Identity                       =>  13989.4 MB
[FW] Linear                         =>  13989.4 MB
[FW] Linear                         =>  13997.4 MB
[FW] Linear                         =>  13961.4 MB
[FW] MistralMLP                     =>  13947.4 MB
[FW] MistralDecoderLayer            =>  13939.4 MB
[FW] MistralRMSNorm                 =>  13943.4 MB
[FW] Linear                         =>  13947.4 MB
[FW] Linear                         =>  13948.4 MB
[FW] Linear                         =>  13949.4 MB
[FW] Linear                         =>  13957.4 MB
[FW] MistralAttention               =>  13949.4 MB
[FW] MistralRMSNorm                 =>  13949.4 MB
[FW] Linear                         =>  13963.4 MB
[FW] Identity                       =>  13971.4 MB
[FW] Linear                         =>  13971.4 MB
[FW] Linear                         =>  13999.4 MB
[FW] Linear                         =>  13963.4 MB
[FW] SiLU                           =>  13977.4 MB
[FW] Linear                         =>  13977.4 MB
[FW] Identity                       =>  13985.4 MB
[FW] Linear                         =>  13985.4 MB
[FW] Linear                         =>  14013.4 MB
[FW] Linear                         =>  13977.4 MB
[FW] Linear                         =>  13967.4 MB
[FW] Identity                       =>  13995.4 MB
[FW] Linear                         =>  13995.4 MB
[FW] Linear                         =>  14003.4 MB
[FW] Linear                         =>  13967.4 MB
[FW] MistralMLP                     =>  13953.4 MB
[FW] MistralDecoderLayer            =>  13945.4 MB
[FW] MistralRMSNorm                 =>  13945.4 MB
[FW] Linear                         =>  13949.4 MB
[FW] Linear                         =>  13950.4 MB
[FW] Linear                         =>  13951.4 MB
[FW] Linear                         =>  13959.4 MB
[FW] MistralAttention               =>  13951.4 MB
[FW] MistralRMSNorm                 =>  13951.4 MB
[FW] Linear                         =>  13965.4 MB
[FW] Identity                       =>  13973.4 MB
[FW] Linear                         =>  13973.4 MB
[FW] Linear                         =>  14001.4 MB
[FW] Linear                         =>  13965.4 MB
[FW] SiLU                           =>  13979.4 MB
[FW] Linear                         =>  13979.4 MB
[FW] Identity                       =>  13987.4 MB
[FW] Linear                         =>  13987.4 MB
[FW] Linear                         =>  14015.4 MB
[FW] Linear                         =>  13979.4 MB
[FW] Linear                         =>  13969.4 MB
[FW] Identity                       =>  13997.4 MB
[FW] Linear                         =>  13997.4 MB
[FW] Linear                         =>  14005.4 MB
[FW] Linear                         =>  13969.4 MB
[FW] MistralMLP                     =>  13955.4 MB
[FW] MistralDecoderLayer            =>  13947.4 MB
[FW] MistralRMSNorm                 =>  13947.4 MB
[FW] Linear                         =>  13951.4 MB
[FW] Linear                         =>  13952.4 MB
[FW] Linear                         =>  13953.4 MB
[FW] Linear                         =>  13961.4 MB
[FW] MistralAttention               =>  13953.4 MB
[FW] MistralRMSNorm                 =>  13953.4 MB
[FW] Linear                         =>  13967.4 MB
[FW] Identity                       =>  13975.4 MB
[FW] Linear                         =>  13975.4 MB
[FW] Linear                         =>  14003.4 MB
[FW] Linear                         =>  13967.4 MB
[FW] SiLU                           =>  13981.4 MB
[FW] Linear                         =>  13981.4 MB
[FW] Identity                       =>  13989.4 MB
[FW] Linear                         =>  13989.4 MB
[FW] Linear                         =>  14017.4 MB
[FW] Linear                         =>  13981.4 MB
[FW] Linear                         =>  13971.4 MB
[FW] Identity                       =>  13999.4 MB
[FW] Linear                         =>  13999.4 MB
[FW] Linear                         =>  14007.4 MB
[FW] Linear                         =>  13971.4 MB
[FW] MistralMLP                     =>  13957.4 MB
[FW] MistralDecoderLayer            =>  13949.4 MB
[FW] MistralRMSNorm                 =>  13949.4 MB
[FW] Linear                         =>  13953.4 MB
[FW] Linear                         =>  13954.4 MB
[FW] Linear                         =>  13955.4 MB
[FW] Linear                         =>  13963.4 MB
[FW] MistralAttention               =>  13955.4 MB
[FW] MistralRMSNorm                 =>  13955.4 MB
[FW] Linear                         =>  13969.4 MB
[FW] Identity                       =>  13977.4 MB
[FW] Linear                         =>  13977.4 MB
[FW] Linear                         =>  14005.4 MB
[FW] Linear                         =>  13969.4 MB
[FW] SiLU                           =>  13983.4 MB
[FW] Linear                         =>  13983.4 MB
[FW] Identity                       =>  13991.4 MB
[FW] Linear                         =>  13991.4 MB
[FW] Linear                         =>  14019.4 MB
[FW] Linear                         =>  13983.4 MB
[FW] Linear                         =>  13973.4 MB
[FW] Identity                       =>  14001.4 MB
[FW] Linear                         =>  14001.4 MB
[FW] Linear                         =>  14009.4 MB
[FW] Linear                         =>  13973.4 MB
[FW] MistralMLP                     =>  13959.4 MB
[FW] MistralDecoderLayer            =>  13951.4 MB
[FW] MistralRMSNorm                 =>  13951.4 MB
[FW] Linear                         =>  13955.4 MB
[FW] Linear                         =>  13956.4 MB
[FW] Linear                         =>  13957.4 MB
[FW] Linear                         =>  13965.4 MB
[FW] MistralAttention               =>  13957.4 MB
[FW] MistralRMSNorm                 =>  13957.4 MB
